policy,cycle,metric,value
P1,11,salience,0.7142857142857143
P1,11,overall,0.9591836734693878
P1,11,aux_bytes,8547
P1,11,aux_noise,3
P1,12,current_fact,1
P1,12,supersession,1
P1,12,lineage,1
P1,12,confabulation,1
P1,12,relationship,1
P1,12,reunion,1
P1,12,salience,1
P1,12,overall,1
P1,12,aux_bytes,9454
P1,12,aux_noise,0
P2,1,current_fact,1
P2,1,confabulation,1
P2,1,relationship,1
P2,1,reunion,1
P2,1,overall,1
P2,1,aux_bytes,1930
P2,1,aux_noise,1
P2,2,current_fact,1
P2,2,confabulation,1
P2,2,relationship,1
P2,2,reunion,1
P2,2,salience,1
P2,2,overall,1
P2,2,aux_bytes,3077
P2,2,aux_noise,2
P2,3,current_fact,1
P2,3,confabulation,1
P2,3,relationship,1
P2,3,reunion,1
P2,3,salience,1
P2,3,overall,1
P2,3,aux_bytes,3864
P2,3,aux_noise,2
P2,4,current_fact,1
P2,4,confabulation,1
P2,4,relationship,1
P2,4,reunion,1
P2,4,salience,1
P2,4,overall,1
P2,4,aux_bytes,4937
P2,4,aux_noise,2
P2,5,current_fact,1
P2,5,confabulation,1
P2,5,relationship,1
P2,5,reunion,1
P2,5,salience,1
P2,5,overall,1
P2,5,aux_bytes,6038
P2,5,aux_noise,2
P2,6,current_fact,1
P2,6,confabulation,1
P2,6,relationship,1
P2,6,reunion,1
P2,6,salience,1
P2,6,overall,1
P2,6,aux_bytes,8290
P2,6,aux_noise,2
P2,7,current_fact,1
P2,7,supersession,1
P2,7,lineage,1
P2,7,confabulation,1
P2,7,relationship,1
P2,7,reunion,1
P2,7,salience,1
P2,7,overall,1
P2,7,aux_bytes,10114
P2,7,aux_noise,2
P2,8,current_fact,1
P2,8,supersession,1
P2,8,lineage,1
P2,8,confabulation,1
P2,8,relationship,1
P2,8,reunion,1
P2,8,salience,1
P2,8,overall,1
P2,8,aux_bytes,8726
P2,8,aux_noise,2
P2,9,current_fact,1
P2,9,supersession,1
P2,9,lineage,1
P2,9,confabulation,1
P2,9,relationship,1
P2,9,reunion,1
P2,9,salience,1
P2,9,overall,1
P2,9,aux_bytes,9630
P2,9,aux_noise,2
P2,10,current_fact,1
P2,10,supersession,1
P2,10,lineage,1
P2,10,confabulation,1
P2,10,relationship,1
P2,10,reunion,1
P2,10,salience,1
P2,10,overall,1
P2,10,aux_bytes,11619
P2,10,aux_noise,4
P2,11,current_fact,1
P2,11,supersession,1
P2,11,lineage,1
P2,11,confabulation,1
P2,11,relationship,1
P2,11,reunion,1
P2,11,salience,1
P2,11,overall,1
P2,11,aux_bytes,13348
P2,11,aux_noise,4
P2,12,current_fact,1
P2,12,supersession,1
P2,12,lineage,1
P2,12,confabulation,1
P2,12,relationship,1
P2,12,reunion,1
P2,12,salience,1
P2,12,overall,1
P2,12,aux_bytes,9298
P2,12,aux_noise,3
